form_id,Form_trigger_method,Intercept Rate,Language,url,form_shown,form_submitted,conversion_rate,Begin_Date,End_Date
739,LIVE - New User French,Medium,French,Watson Campaign Automation,5,2,40,4/8/18,4/14/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,5,1,20,4/8/18,4/14/18
740,LIVE - New User German,Medium,German,Watson Campaign Automation,1,0,0,4/8/18,4/14/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,7,1,14,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,13,3,23,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,875,127,15,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,1,50,4/8/18,4/14/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/8/18,4/14/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,4/8/18,4/14/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,2,2,100,4/8/18,4/14/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,5,2,40,4/8/18,4/14/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,3,1,33,4/8/18,4/14/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,5,3,60,4/8/18,4/14/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,3,1,33,4/8/18,4/14/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,4/8/18,4/14/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,60,12,20,4/8/18,4/14/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,46,5,11,4/8/18,4/14/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,6,1,17,4/8/18,4/14/18
782,Trigger Based (trigger when trigger flag = true) , Light , English,tealeaf,5,1,20,4/8/18,4/14/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,4036,1,0,4/8/18,4/14/18
834,Quarterly Pulse (trigger every 90 days) , Heavy , Japanese,digitalexperience,1,0,0,4/8/18,4/14/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,1,0,0,4/15/18,4/21/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,1,33,4/15/18,4/21/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,1,50,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,17,2,12,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,841,116,14,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,4/15/18,4/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,4/15/18,4/21/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,10,6,60,4/15/18,4/21/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,3,1,33,4/15/18,4/21/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,5,4,80,4/15/18,4/21/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,4/15/18,4/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,2,0,0,4/15/18,4/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,1,100,4/15/18,4/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,34,6,18,4/15/18,4/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,1,100,4/15/18,4/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,4,0,0,4/15/18,4/21/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,6,2,33,4/15/18,4/21/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,0,0,null,4/15/18,4/21/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,6,1,17,4/15/18,4/21/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,4036,1,0,4/15/18,4/21/18
834,Quarterly Pulse (trigger every 90 days) , Heavy , Japanese,digitalexperience,1,0,0,4/15/18,4/21/18
837,Quarterly Pulse (trigger every 90 days) , Heavy , Italian,digitalexperience,1,0,0,4/15/18,4/21/18
782,Trigger Based (trigger when trigger flag = true) , Light , English,tealeaf,5,1,20,4/15/18,4/21/18
737,LIVE - New User Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,1,33,4/22/18,4/28/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,4/22/18,4/28/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,1,50,4/22/18,4/28/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1048,141,13,4/22/18,4/28/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,4,0,0,4/22/18,4/28/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,16,1,6,4/22/18,4/28/18
743,LIVE - Message Sent Spanish Spain,Medium,Spanish Spain,Watson Campaign Automation,1,1,100,4/22/18,4/28/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,5,2,40,4/22/18,4/28/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,10,0,0,4/22/18,4/28/18
747,LIVE - Message Sent German,Medium,German,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,68,8,12,4/22/18,4/28/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,4/22/18,4/28/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,7,3,43,4/22/18,4/28/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,2,0,0,4/22/18,4/28/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,7,1,14,4/22/18,4/28/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,7,3,43,4/22/18,4/28/18
782,Trigger Based (trigger when trigger flag = true) , Light , English,tealeaf,6,0,0,4/22/18,4/28/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,2248,2,0,4/22/18,4/28/18
808,Quarterly Pulse (trigger every 90 days) , Heavy , Spanish Spain,digitalexperience,1,1,100,4/22/18,4/28/18
